"CIVIL SOC & COMMUNITY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Nonprofit Sector: Overview","001","","37","3.716","64.9","29.7","2.7",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"335
Communicating-Key Audiences","001","","50","3.760","72.0","22.0","2.0","2.0",".",".","2.0",".",".",".",".",".",".",".",".","."
"350
Community Iss & Serv Learng","001","","29","3.714","55.2","27.6","13.8",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"428
Prgm Planning-Fam&Consmr Ed","001","","40","3.825","82.5","15.0",".",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"460
Leadership&Mgt-Nonprofit Orgs","001","","34","3.824","88.2","5.9","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"501","001","","11","3.850","81.8",".",".","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"501","003","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","007","","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","63","3.964","93.7","1.6","1.6","1.6",".",".",".",".",".",".",".",".","1.6",".",".","."
"601
Internship","001","","24","3.917","95.8",".",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"675
General Topics","001","","12","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"699
Independent Study","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","002","","9","",".",".",".",".",".",".",".",".",".",".",".","33.3","66.7",".",".","."
"Civil Soc & Community Research","Course Total","","18","4.000","50.0",".",".",".",".",".",".",".",".",".",".","16.7","33.3",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","11","",".",".",".",".",".",".",".","45.5",".",".",".","54.5",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
