"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","72","3.205","4.2","33.3","50.0","4.2",".",".",".","5.6",".",".",".",".","1.4",".","1.4","."
"Amer Hist-Civil War-Present","102","001","140","3.405","19.3","50.0","22.1","5.0","0.7","0.7",".","1.4",".",".",".",".","0.7",".",".","."
"Intro-E Asian History:China","103","001","54","3.734","48.1","31.5","7.4",".",".",".",".","11.1",".",".",".",".","1.9",".",".","."
"Intro-E Asian History:Japan","104","001","48","2.904","6.3","33.3","22.9","18.8","12.5","2.1","2.1","2.1",".",".",".",".",".",".",".","."
"Intro to US History","109","001","81","3.549","46.9","22.2","12.3","3.7","1.2","1.2","1.2","11.1",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","97","3.250","12.4","30.9","28.9","6.2","4.1",".",".","15.5",".",".",".",".","2.1",".",".","."
"Medieval Europe 410-1500","115","001","70","3.746","68.6","18.6","2.9",".",".",".","2.9",".",".",".",".",".",".",".","7.1","."
"Modern Europe 1500-1815","119","001","69","3.136","14.5","21.7","43.5","13.0","1.4",".","1.4","2.9",".",".",".",".","1.4",".",".","."
"Europe&Mod World 1815-On","120","001","140","3.777","67.9","20.7","6.4","1.4","1.4",".",".","2.1",".",".",".",".",".",".",".","."
"English History to 1688","123","001","74","3.407","24.3","39.2","23.0","5.4","2.7",".",".","5.4",".",".",".",".",".",".",".","."
"Green Screen","125","001","50","3.203","14.0","14.0","38.0","4.0","4.0",".",".",".",".",".",".",".",".",".","26.0","."
"Women in World History","134","001","48","3.278","25.0","25.0","29.2","6.3","8.3",".",".",".",".",".",".",".","2.1",".","4.2","."
"","200","001","18","3.824","66.7","22.2","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","200","002","9","3.563","33.3","44.4",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".","."
"","200","005","17","3.618","58.8","17.6","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","200","006","9","2.563","22.2","22.2","11.1","11.1",".",".","22.2",".",".",".",".",".",".",".",".","11.1"
"Historical Studies","","Course Total","53","3.510","50.9","24.5","9.4","3.8","1.9",".","3.8",".",".",".",".",".","1.9","1.9",".","1.9"
"","201","002","41","3.419","39.0","19.5","19.5","2.4","9.8",".",".",".",".",".",".",".","9.8",".",".","."
"","201","004","41","3.650","56.1","14.6","26.8",".",".",".",".",".",".",".",".",".",".",".","2.4","."
"","201","005","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201","006","39","3.718","48.7","46.2","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","007","25","3.643","32.0","44.0","8.0",".",".",".",".",".",".",".",".",".","16.0",".",".","."
"The Historian's Craft","","Course Total","161","3.601","45.3","29.2","16.1","1.2","2.5",".",".",".",".",".",".",".","5.0",".","0.6","."
"Islam Wrld:MidEast,500-1500","205","001","41","3.750","48.8","19.5","9.8",".",".",".",".","22.0",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","96","3.545","40.6","28.1","18.8","2.1","3.1",".",".","6.3",".",".",".",".","1.0",".",".","."
"Intro to Modern Jewish Hist","220","001","15","3.433","40.0","33.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","221","002","25","3.292","24.0","48.0","8.0","8.0",".","8.0",".",".",".",".",".",".",".","4.0",".","."
"Exploration-European Hist (H)","223","001","147","2.944","14.3","22.4","27.9","15.6","10.9","4.1","1.4",".",".",".",".",".","2.0",".","1.4","."
"Exploration-3rd World Hist (H)","225","001","43","3.738","55.8","25.6","11.6",".",".",".",".","7.0",".",".",".",".",".",".",".","."
"","229","001","42","3.643","66.7","16.7","9.5","2.4","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","229","002","32","3.724","56.3","25.0","3.1","6.3",".",".",".","6.3",".",".",".",".","3.1",".",".","."
"Transnational/Comp Hstry (Hum)","","Course Total","74","3.676","62.2","20.3","6.8","4.1","1.4",".","1.4","2.7",".",".",".",".","1.4",".",".","."
"Mod Latin Am, 1898 to Present","242","001","43","3.366","32.6","37.2","14.0","4.7","2.3","2.3","2.3","2.3",".",".",".",".",".",".","2.3","."
"SE Asia:Vietnam to Philipns","244","002","33","3.300","15.2","18.2","39.4","3.0",".",".",".","24.2",".",".",".",".",".",".",".","."
"American Legal History to 1860","261","001","30","2.962","10.0","23.3","40.0","3.3","3.3",".","6.7","13.3",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian Religions","267","002","16","3.633","43.8","31.3","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Eastern Europe since 1900","270","001","68","3.390","16.2","25.0","16.2","1.5",".",".","1.5","39.7",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","37","3.611","43.2","8.1","16.2","5.4",".",".",".","24.3",".",".",".",".","2.7",".",".","."
"","283","001","11","3.500","45.5","45.5",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","283","002","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Honors Seminar","","Course Total","17","3.588","47.1","47.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
