"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","3212","3.292","38.9","20.3","19.0","8.1","8.3","2.0","1.1","1.4","",".",".","",".","0.5","0.2","0.0","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.425","48.0","20.0","16.0","4.0","12.0",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","506","3.206","34.0","21.3","21.9","10.9","7.5","2.6","1.6",".","",".",".","",".",".","0.2",".",".","."
"Junior","","980","3.146","32.7","18.1","22.0","10.8","12.1","2.6","1.4",".","",".",".","",".",".","0.2","0.1",".","."
"Senior","","830","3.161","32.4","19.5","21.4","10.5","10.7","2.8","1.7","0.1","",".",".","",".","0.5","0.2",".","0.1","."
"Undergraduates","","2341","3.168","33.0","19.3","21.7","10.6","10.6","2.6","1.5","0.0","",".",".","",".","0.2","0.2","0.0","0.0","."
"Special","","284","3.666","60.9","26.8","10.6","0.7","0.4","0.4",".","0.4","",".",".","",".",".",".",".",".","."
"Graduate","","581","3.655","51.8","21.0","12.4","1.5","2.6","0.5",".","7.2","",".",".","",".","2.2",".",".","0.7","."
"Prof Yr 4","","6","3.800","66.7","33.3",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","6","3.800","66.7","33.3",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3212","3.292","38.9","20.3","19.0","8.1","8.3","2.0","1.1","1.4","",".",".","",".","0.5","0.2","0.0","0.2","."
