"L&S","","","","","","","","","","","","","","","","","","","","",""
"LATIN AMER, CARIB & IBERIAN","","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","",""
"Elementary Quechua","361","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LACIS","440","003","","6","3.167","66.7",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Smr-Latin American Area","982","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"LACIS
525","","Dept. Total","","15","3.659","80.0",".","6.7",".",".",".","6.7",".",".",".",".",".",".",".","6.7","."
