"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","024","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","33","3.978","97.0",".","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Intmed Problems in ChE","001","","25","3.520","36.0","40.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"699
Adv Independent Studies","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"710
Adv ChE Thermodynamic","001","","26","3.538","34.6","42.3","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"735
Kinetics and Catalysis","001","","22","3.646","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"781
Molecules, Cells, & Systems","001","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"890","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","030","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","61","",".",".",".",".",".",".",".","91.8",".",".",".","8.2",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 118 of 420",""
