"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Intro to Animal Sciences","001","","86","3.337","33.7","18.6","37.2","7.0","2.3",".","1.2",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","138","3.000","23.2","23.9","10.1","22.5","15.9","0.7","2.2","1.4",".",".",".",".",".",".",".","."
"220
Grwth,Compos&Eval-Meat Anml","001","","26","3.423","30.8","26.9","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"299","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","21","3.525","33.3","33.3","28.6",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"375","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"414
Ruminant Nutrition","001","","8","3.063","25.0","12.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","15","3.000","20.0","6.7","40.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","43","3.419","30.2","27.9","37.2","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"435
Animal Sciences Proseminar","001","","38","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"610
Quantitative Genetics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honor Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"710
Chem of the Food Lipids","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Practicum-Animal Sci Tchng","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"824
Ruminant Nutr Phys I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Special Topics","Course Total","","15","3.880","80.0",".","6.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
