"","990
081","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
082","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","86","",".",".",".",".",".",".",".","40.7",".",".",".","57.0",".",".","2.3","."
"BIOCHEM
200","Dept. Total","1589","3.217","38.0","14.6","18.4","7.3","11.3","2.6",".","3.5",".",".",".","3.5","0.3","0.1","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","17","3.442","70.6",".",".",".","23.5",".",".",".",".",".",".",".",".",".","5.9","."
"Junior","","413","3.106","33.7","16.2","20.8","7.5","17.4","4.4",".",".",".",".",".",".",".",".",".","."
"Senior","","738","3.177","34.0","15.7","23.4","10.2","12.3","3.0",".","0.1",".",".",".","0.8","0.4",".",".","."
"Undergraduates","","1169","3.156","34.5","15.7","22.2","9.1","14.3","3.4",".","0.1",".",".",".","0.5","0.3",".","0.1","."
"Special","","37","3.361","40.5","10.8","21.6","10.8","8.1",".",".","2.7",".",".",".",".","2.7",".","2.7","."
"Graduate","","376","3.598","48.7","11.4","6.4","1.6","2.4","0.3",".","14.1",".",".",".","12.8","0.3","0.3","1.9","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","6","3.792","50.0","33.3",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"Professionals","","7","3.633","42.9","28.6","14.3",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"","Dept. Total","1589","3.217","38.0","14.6","18.4","7.3","11.3","2.6",".","3.5",".",".",".","3.5","0.3","0.1","0.6","."
