"","999
014","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
022","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
073","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","11","4.000","72.7",".",".",".",".",".","",".","9.1","",".",".","",".",".",".",".","18.2","."
"ED POL
310","Dept. Total","512","3.742","57.2","21.3","7.6","1.2","0.8","0.4","",".","3.7","",".",".","",".","3.5","2.9",".","1.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","41","3.538","31.7","43.9","19.5","2.4",".",".","",".",".","",".",".","",".",".","2.4",".",".","."
"Junior","","136","3.684","58.8","23.5","11.0","0.7","2.2","0.7","",".",".","",".",".","",".",".","2.9",".",".","."
"Senior","","204","3.733","61.3","27.9","6.9","2.0","0.5","0.5","",".",".","",".",".","",".",".","1.0",".",".","."
"Undergraduates","","382","3.693","57.1","28.0","9.9","1.6","1.0","0.5","",".",".","",".",".","",".",".","1.8",".",".","."
"Special","","6","3.917","83.3","16.7",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","124","3.979","56.5","0.8","0.8",".",".",".","",".","15.3","",".",".","",".","14.5","6.5",".","5.6","."
"","Dept. Total","512","3.742","57.2","21.3","7.6","1.2","0.8","0.4","",".","3.7","",".",".","",".","3.5","2.9",".","1.4","."
