"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101","002","","10","3.600","70.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","101","003","","9","3.611","77.8","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Textile Design","","Course Total","","32","3.578","59.4","18.8","12.5","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals I","120","001","","90","3.708","62.2","24.4","10.0",".","1.1",".","1.1","1.1",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","153","001","","29","3.362","37.9","13.8","41.4","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","002","","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","85","3.310","27.1","25.9","34.1","7.1","3.5","1.2",".","1.2",".",".",".",".",".",".",".","."
"Interior Design I","222","001","","35","3.926","85.7","8.6","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Interior Architect Design","223","001","","27","3.463","14.8","66.7","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Materials and Finishes","224","001","","36","3.778","66.7","25.0","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","241","001","","17","3.844","76.5","11.8",".","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"","241","002","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication I","","Course Total","","35","3.868","77.1","17.1",".","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"Design Leadership Symposium","252","001","","40","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253","001","","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Cloth to Clothing","319","001","","15","3.533","40.0","40.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Arch. & Interiors I","421","001","","40","3.763","65.0","17.5","10.0","2.5",".",".",".",".",".",".",".",".",".","5.0",".","."
"Color Theory and Technology","451","001","","19","3.079","36.8","15.8","10.5","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","31","3.694","41.9","54.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","004","","18","3.667","38.9","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","005","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","029","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","89","3.773","52.8","44.9","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Textile Design","528","001","","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561","001","","46","3.189","17.4","30.4","26.1","19.6","4.3",".",".",".",".",".",".",".",".","2.2",".","."
"","601","001","","11","3.727","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","601","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","13","3.769","76.9","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","","27","3.704","40.7","59.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","624","001","","35","3.871","77.1","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","6","3.700","66.7",".",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
