"AMN","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDIE Section","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101
001","","22","3.929","81.8","13.6",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".","4.5","."
"101
002","","12","3.864","66.7","25.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".","8.3","."
"Course Total
Foundations of US Air Force I","","34","3.906","76.5","17.6",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","5.9","."
"201
001
Evolution of US Air & Space I","","14","3.893","78.6","21.4",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"301
001
Leadership Studies I","","13","3.923","84.6","15.4",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"401
001
National Security Affairs","","20","3.775","70.0","15.0","15.0",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
Dept. Total
102","","81","3.855","76.5","17.3","3.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.5","."
"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.912","77.8","16.7",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","5.6","."
"Sophomore","","22","3.833","86.4","9.1","4.5","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","11","3.917","72.7","18.2",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","9.1","."
"Senior","","26","3.824","69.2","23.1","7.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","77","3.853","76.6","16.9","3.9","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.6","."
"Special","","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Dept. Total","","81","3.855","76.5","17.3","3.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.5","."
