"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","9","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","25","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","35","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","4","***","","","","","","","","","","","","","","",".","",".","",".",".",".","25.0","."
"Prof Yr 1","58","3.797","58.6","24.1","3.4","",".","",".","",".","",".","10.3","",".",".","",".","",".","3.4",".",".","."
"Prof Yr 3","88","3.297","18.2","21.6","58.0","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","2.3"
"Prof Yr 4","52","3.806","65.4","25.0","5.8","",".","",".","",".","",".","3.8","",".",".","",".","",".",".",".",".","."
"Professionals","198","3.517","42.4","23.2","28.3","",".","",".","",".","",".","4.0","",".",".","",".","",".","1.0",".",".","1.0"
