"ALS","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","",""
"","155
001","46","3.778","80.4","4.3","8.7",".","2.2","2.2",".","",".","",".","",".",".","",".","","2.2",".",".","."
"","002
155","48","3.844","89.6",".","6.3","2.1",".","2.1",".","",".","",".","",".",".","",".","",".",".",".","."
"Issues in Ag, Envir & Life Sci","Course Total","94","3.812","85.1","2.1","7.4","1.1","1.1","2.1","",".","",".","",".",".","",".","",".","1.1",".",".","."
"WISE Seminar","175
001","77","3.967","93.5","1.3","2.6",".",".",".",".","",".","",".","",".",".","",".","","2.6",".",".","."
"INTER-AG
494","Dept. Total","171","3.881","88.9","1.8","5.3","0.6","0.6","1.2","",".","",".","",".",".","",".","",".","1.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","117","3.846","86.3","1.7","6.0","0.9","0.9","1.7","",".","",".","",".",".","",".","",".","2.6",".",".","."
"Sophomore","","50","3.950","94.0","2.0","4.0",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","","171","3.881","88.9","1.8","5.3","0.6","0.6","1.2","",".","",".","",".",".","",".","",".","1.8",".",".","."
"","Dept. Total","171","3.881","88.9","1.8","5.3","0.6","0.6","1.2","",".","",".","",".",".","",".","",".","1.8",".",".","."
