"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","16","2.988","43.8","6.3","25.0","12.5","6.3",".","6.3",".","",".",".","",".",".",".",".",".","."
"Junior","","72","3.307","34.7","27.8","19.4","11.1","5.6","1.4",".",".","",".",".","",".",".",".",".",".","."
"Senior","","351","3.275","40.2","21.4","21.9","7.7","6.0","0.9",".","1.4","",".",".","",".",".","0.6",".",".","."
"Undergraduates","","440","3.268","39.3","21.8","21.6","8.6","5.9","0.9","0.2","1.1","",".",".","",".",".","0.5",".",".","."
"Special","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","99","3.750","18.2","12.1","1.0",".",".",".",".","52.5","",".",".","",".","15.2","1.0",".",".","."
"","Dept. Total","542","3.296","35.4","20.1","17.9","7.0","4.8","0.7","0.2","10.5","",".",".","",".","2.8","0.6",".",".","."
