"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"101
Intro to Animal Sciences","001","","30","3.367","30.0","20.0","46.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"233
Dairy Herd Management I","001","","28","3.554","32.1","46.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"305
Lactation Physiology","001","","18","3.250","27.8","22.2","33.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","8","3.188",".","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
Managed Grazing Field Study","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","20","3.368","35.0","25.0","15.0","15.0","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"434
Reproductive Physiology","001","","13","3.231","23.1","23.1","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"824
Ruminant Nutr Phys I","001","","12","3.455","33.3","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".","8.3","."
"875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","5","***","","","","","","","","","","","","","","","",""
"900
Seminar","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","25","",".",".",".",".",".",".",".","68.0",".",".",".","28.0","4.0",".",".","."
