"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","34","2.941","20.6","17.6","23.5","11.8","23.5","2.9",".",".",".",".",".",".",".",".",".","."
"","100
002","34","2.809","17.6","17.6","17.6","14.7","26.5","5.9",".",".",".",".",".",".",".",".",".","."
"","003
100","34","3.147","26.5","14.7","38.2","8.8","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"","100
004","34","3.221","17.6","41.2","23.5","8.8","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"","100
005","34","3.132","38.2","11.8","14.7","8.8","26.5",".",".",".",".",".",".",".",".",".",".","."
"","006
100","33","2.939","24.2","15.2","24.2","15.2","15.2","3.0","3.0",".",".",".",".",".",".",".",".","."
"","100
007","38","2.947","18.4","13.2","36.8","13.2","13.2","5.3",".",".",".",".",".",".",".",".",".","."
"","100
008","35","2.971","20.0","17.1","31.4","11.4","14.3","5.7",".",".",".",".",".",".",".",".",".","."
"","100
010","34","2.985","20.6","17.6","29.4","8.8","20.6","2.9",".",".",".",".",".",".",".",".",".","."
"","100
011","32","2.688","15.6","12.5","18.8","18.8","25.0","9.4",".",".",".",".",".",".",".",".",".","."
"","100
012","34","2.971","17.6","26.5","29.4","2.9","17.6","2.9","2.9",".",".",".",".",".",".",".",".","."
"","013
100","36","3.056","13.9","22.2","38.9","11.1","13.9",".",".",".",".",".",".",".",".",".",".","."
"","100
014","29","3.000","17.2","20.7","31.0","6.9","24.1",".",".",".",".",".",".",".",".",".",".","."
"","015
100","34","3.221","35.3","5.9","35.3","14.7","8.8",".",".",".",".",".",".",".",".",".",".","."
"","100
016","34","2.632","17.6",".","26.5","32.4","11.8","8.8","2.9",".",".",".",".",".",".",".",".","."
"","100
017","35","2.786","5.7","17.1","31.4","25.7","17.1","2.9",".",".",".",".",".",".",".",".",".","."
"","100
018","31","2.903","25.8",".","38.7","6.5","25.8","3.2",".",".",".",".",".",".",".",".",".","."
"","100
019","34","2.779","14.7","8.8","29.4","29.4","11.8","2.9","2.9",".",".",".",".",".",".",".",".","."
"","100
020","28","2.768","17.9","10.7","21.4","28.6","14.3","3.6","3.6",".",".",".",".",".",".",".",".","."
"","100
021","34","2.809","14.7","14.7","20.6","23.5","23.5","2.9",".",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","671","2.937","20.0","15.4","28.2","15.1","17.3","3.4","0.7",".",".",".",".",".",".",".",".","."
"","211
001","35","3.286","31.4","28.6","20.0","5.7","14.3",".",".",".",".",".",".",".",".",".",".","."
"","211
002","39","2.974","17.9","23.1","20.5","12.8","25.6",".",".",".",".",".",".",".",".",".",".","."
"","211
003","39","2.974","23.1","12.8","30.8","12.8","15.4","5.1",".",".",".",".",".",".",".",".",".","."
"","211
004","37","2.986","16.2","27.0","29.7","8.1","13.5","2.7","2.7",".",".",".",".",".",".",".",".","."
"","211
005","33","2.818","12.1","6.1","45.5","12.1","21.2","3.0",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","183","3.008","20.2","19.7","29.0","10.4","18.0","2.2","0.5",".",".",".",".",".",".",".",".","."
"","300
001","182","3.221","22.5","30.8","28.0","11.0","4.4","2.2","0.5",".",".",".",".",".",".",".","0.5","."
"","002
300","37","3.527","32.4","45.9","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","219","3.273","24.2","33.3","26.0","10.0","3.7","1.8","0.5",".",".",".",".",".",".",".","0.5","."
"","301
001","41","3.268","26.8","19.5","36.6","14.6","2.4",".",".",".",".",".",".",".",".",".",".","."
"","301
002","38","3.257","18.4","28.9","36.8","10.5","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"","003
301","31","3.217","16.1","32.3","35.5","3.2","9.7",".",".",".",".",".",".",".","3.2",".",".","."
"","301
004","39","3.192","15.4","15.4","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","301
005","35","3.243","20.0","34.3","28.6","8.6","8.6",".",".",".",".",".",".",".",".",".",".","."
"","006
301","37","3.311","29.7","27.0","24.3","13.5","5.4",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","221","3.249","21.3","25.8","37.6","10.0","4.5",".",".",".",".",".",".",".","0.9",".",".","."
"","302
001","41","3.295","29.3","19.5","26.8","17.1","2.4",".",".",".",".",".",".",".","2.4",".","2.4","."
"","302
002","38","3.316","23.7","28.9","36.8","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","79","3.305","26.6","24.1","31.6","12.7","2.5",".",".",".",".",".",".",".","1.3",".","1.3","."
"","001
310","38","3.513","42.1","23.7","28.9","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","41","3.573","46.3","22.0","31.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","79","3.544","44.3","22.8","30.4","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","40","3.263","27.5","25.0","25.0","17.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","340
001","20","3.400","25.0","40.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 54 of 420"
