"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","275
001","16","3.625","50.0","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","33","3.636","45.5","39.4","12.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","397
001","22","3.295","27.3","40.9","13.6","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","397
002","21","3.262","14.3","47.6","23.8","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","397
003","22","3.452","31.8","31.8","22.7","9.1",".",".",".",".",".",".",".",".","4.5",".",".","."
"","397
004","21","3.452","14.3","61.9","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","23","3.348","30.4","30.4","26.1","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","397
006","23","3.283","13.0","34.8","47.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","21","3.500","19.0","71.4","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
008","18","3.444","27.8","38.9","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","22","3.455","22.7","63.6","9.1",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","397
010","23","3.283","13.0","43.5","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","397
011","22","3.318","13.6","36.4","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","21","3.357","33.3","38.1","9.5","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","397
014","23","3.326","13.0","47.8","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","23","3.283","17.4","39.1","26.1","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","21","3.333","14.3","52.4","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","018
397","21","3.275","19.0","28.6","33.3","14.3",".",".",".",".",".",".",".",".","4.8",".",".","."
"Technical Communication","Course Total","347","3.352","20.2","44.1","25.4","6.3","2.9","0.6",".",".",".",".",".",".","0.6",".",".","."
"Tech Communications Intrshp","398
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
518","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","518
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","Course Total","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese for Bus & Industry","601
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","603
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","604
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","42","3.702","47.6","45.2","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","41","3.951","90.2","9.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","16","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Technical Project Management","Course Total","61","3.885","77.0","23.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design II","001
623","15","3.600","60.0","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Fluid Dynamics","625
001","23","3.587","43.5","34.8","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Perspectives - Engine Modeling","627
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine-Powertrn Tech&Manufact","001
644","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Teaching in Science & Engr","654
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Systems Capstone","669
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","Page 133 of 420",""
