"TERM : 1182","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2017-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"323
002
Art in Elementary Education","","6","3.750","50.0","50.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"324
001
Art in Secondary Education","","6","3.917","83.3","16.7","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"470
001
Practicum in Elem School Art","","6","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"493
001
Practicum-Secondary School Art","","6","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"ART ED
Dept. Total
176","","24","3.917","83.3","16.7","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","16","3.906","81.3","18.8","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","16","3.906","81.3","18.8","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","8","3.938","87.5","12.5","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","24","3.917","83.3","16.7","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 80 of 420"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
