"First Semester Hebrew","101
001","","22","3.795","90.9","4.5","",".",".","",".","",".","","4.5",".","",".","",".",".","",".","",".","",".",".","."
"Third Semester Hebrew","201
001","","10","3.600","90.0",".","",".",".","",".","",".","","10.0",".","",".","",".",".","",".","",".","",".",".","."
"Intro to Hebrew Literature","301
001","","7","4.000","100.0",".","",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Topics in Modern Hebrew Lit","401
001","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"HEBR-MOD
442","Dept. Total","","40","3.776","92.5","2.5","",".","",".","",".","",".","5.0","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","12","4.000","100.0",".","",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","12","3.957","91.7","8.3","",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","7","2.815","71.4",".","",".","",".","",".","",".","28.6","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","36","3.752","91.7","2.8","",".","",".","",".","",".","5.6","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","40","3.776","92.5","2.5","",".","",".","",".","",".","5.0","",".","",".",".","",".","",".","",".",".",".","."
