"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"Human Dev; Awareness Proc","105
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
011","15","3.667","66.7","20.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","110
012","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","36","3.722","77.8","13.9",".","2.8","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"","115
003","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
005","43","3.814","83.7","9.3","4.7",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"","115
006","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
007","43","3.964","90.7","7.0",".",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"","009
115","45","3.933","88.9","8.9","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
019","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
020","24","3.833","95.8",".",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","021
115","24","3.646","75.0","8.3","8.3","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"","115
022","17","3.382","64.7","17.6","5.9",".",".",".","11.8",".",".",".",".",".",".",".",".","."
"","115
034","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
051","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
052","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
053","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
054","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
055","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
056","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
057","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
058","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
074","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
075","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
076","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","115
079","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","115
080","8","2.750","50.0","12.5",".","12.5",".",".","25.0",".",".",".",".",".",".",".",".","."
"","115
085","10","3.450","70.0",".","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","115
096","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","442","3.854","88.0","6.3","2.5","0.7","0.5","0.2","1.6",".",".",".",".",".",".",".","0.2","."
"","125
001","21","3.786","85.7","4.8",".",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","125
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
004","20","3.700","65.0","25.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","125
005","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
006","21","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
007","13","3.769","92.3",".",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","125
008","20","3.725","70.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","125
009","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
010","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
011","20","3.775","90.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","125
012","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
013","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
