"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","43","3.012","11.6","23.3","39.5","7.0","18.6",".",".",".",".",".",".",".",".",".",".","."
"","300
002","37","2.946","5.4","21.6","35.1","32.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"","300
003","41","3.268","26.8","19.5","41.5","4.9","7.3",".",".",".",".",".",".",".",".",".",".","."
"","004
300","42","3.262","21.4","28.6","33.3","14.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","300
005","37","3.351","24.3","40.5","21.6","8.1","5.4",".",".",".",".",".",".",".",".",".",".","."
"","300
006","42","3.155","7.1","40.5","35.7","9.5","7.1",".",".",".",".",".",".",".",".",".",".","."
"","300
007","40","3.308","25.0","37.5","17.5","12.5","2.5","2.5",".",".",".",".",".",".","2.5",".",".","."
"","300
008","42","3.440","21.4","52.4","19.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","40","3.138","15.0","22.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","010
300","41","3.378","24.4","36.6","29.3","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","39","2.987","7.7","15.4","53.8","12.8","10.3",".",".",".",".",".",".",".",".",".",".","."
"","012
300","35","3.129","14.3","17.1","54.3","8.6","5.7",".",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","479","3.200","17.1","29.9","34.7","12.5","5.4","0.2",".",".",".",".",".",".","0.2",".",".","."
"","305
001","72","3.621","52.8","25.0","12.5","4.2","2.8",".",".","1.4",".",".",".",".","1.4",".",".","."
"","002
305","76","3.660","57.9","26.3","9.2","1.3","2.6","1.3",".",".",".",".",".",".","1.3",".",".","."
"Human Resource Management","Course Total","148","3.641","55.4","25.7","10.8","2.7","2.7","0.7",".","0.7",".",".",".",".","1.4",".",".","."
"Nw Vntrs in Bus,Arts&Soc Entrp","320
001","43","3.756","58.1","34.9","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","192","3.330","30.7","21.9","38.5","3.1","3.1","2.1",".",".",".",".",".",".","0.5",".",".","."
"","365
004","24","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","14","3.536","50.0","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","38","3.592","44.7","31.6","21.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Management of Teams","401
001","28","3.339","25.0","32.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","403
001","25","3.480","32.0","32.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
403","28","3.375","25.0","28.6","42.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","53","3.425","28.3","30.2","39.6","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","001
422","38","3.447","23.7","44.7","28.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","34","3.926","85.3","14.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","72","3.674","52.8","30.6","15.3","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","423
001","41","3.915","82.9","17.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","26","3.423","26.9","30.8","42.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","36","3.667","58.3","25.0","11.1","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","30","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","28","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
001","28","3.556","39.3","35.7","17.9",".","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"","628
030","57","3.789","63.2","33.3","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","85","3.714","55.3","34.1","7.1","1.2","1.2",".",".",".",".",".",".",".","1.2",".",".","."
"Organizational Behavior","700
031","37","3.959","91.9","8.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704
030","46","3.815","69.6","23.9","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","52","3.510","15.4","73.1","9.6","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","52","3.538","21.2","65.4","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leading and Working in Teams","Course Total","104","3.524","18.3","69.2","11.5","1.0",".",".",".",".",".",".",".",".",".",".",".","."
