"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","163","3.750","69.3","12.3","9.8","0.6","1.2","0.6","0.6","5.5",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","85","3.589","64.7","9.4","9.4","3.5","1.2","2.4","2.4","7.1",".",".",".",".",".",".",".","."
"Opera","105
001","81","3.782","66.7","7.4","11.1","1.2","1.2",".",".","12.3",".",".",".",".",".",".",".","."
"Music & Film","107
001","38","3.433","13.2","44.7","18.4","2.6",".",".",".","21.1",".",".",".",".",".",".",".","."
"","113
001","638","3.931","95.9",".","2.8",".","0.3","0.3","0.6",".",".",".",".",".",".",".",".","."
"","113
002","646","3.930","95.7",".","2.6",".","0.8","0.3","0.5",".",".",".",".",".",".",".",".","0.2"
"","113
003","535","3.950","95.7","0.2","3.4",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"","113
004","41","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Music in Performance","Course Total","1860","3.936","93.7","0.1","2.8",".","0.6","0.2","0.4",".",".",".",".",".",".",".","2.2","0.1"
"","121
001","29","3.293","13.8","37.9","44.8",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","121
002","30","2.950","10.0","16.7","50.0","6.7","13.3","3.3",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","59","3.119","11.9","27.1","47.5","3.4","8.5","1.7",".",".",".",".",".",".",".",".",".","."
"","151
001","36","3.545","50.0","19.4","11.1","8.3",".","2.8",".","5.6","2.8",".",".",".",".",".",".","."
"","151
002","56","3.321","51.8","12.5","8.9","8.9","5.4","3.6","3.6","1.8","1.8",".",".",".","1.8",".",".","."
"","151
004","23","3.826","95.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","115","3.495","60.0","12.2","7.8","7.0","2.6","2.6","2.6","2.6","1.7",".",".",".","0.9",".",".","."
"","171
101","15","3.267","13.3","33.3","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
171","14","3.321","21.4","28.6","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","15","3.000","26.7","6.7","20.0","33.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","171
104","15","3.233","26.7","13.3","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","59","3.203","22.0","20.3","39.0","13.6","5.1",".",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","169","3.365","29.6","25.4","18.3","7.7","6.5",".",".","10.7",".",".",".",".","1.8",".",".","."
"Survey-Hist Western Music","211
001","42","3.263","35.7","9.5","23.8","21.4","4.8",".",".",".",".",".",".",".",".","4.8",".","."
"","001
221","29","3.517","20.7","62.1","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","13","3.308","46.2","15.4","23.1",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","42","3.452","28.6","47.6","19.0",".","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","253
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","253
002","8","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","15","3.733","73.3","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
041","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
196","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
296","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","48","3.990","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Ensemble: Wisconsin Singers","Course Total","39","4.000","97.4",".",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Ensemble-Woodwind","265
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
020","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
