"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","110
001","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
003","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
004","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","22","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
009","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","26","3.788","73.1","19.2","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","110
014","24","3.833","87.5","8.3",".",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","110
015","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
110","23","3.739","73.9","13.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","110
017","22","3.773","77.3","9.1","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","110
018","22","3.545","54.5","13.6","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","273","3.822","78.8","12.1","6.6","0.7","1.5","0.4",".",".",".",".",".",".",".",".",".","."
"","120
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
002","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
003","18","3.833","77.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","120
005","22","3.932","95.5",".",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","120
006","22","3.795","77.3","13.6","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","120
010","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
011","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
016","22","3.682","63.6","22.7","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","120
018","22","3.818","77.3","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","120
019","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
020","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
120","19","3.684","68.4","15.8","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","120
023","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
024","22","3.818","77.3","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","120
026","22","3.750","77.3","9.1","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","120
027","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
028","21","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
029","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
030","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
031","22","3.818","72.7","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","410","3.867","83.2","11.0","2.9","2.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"","300
001","27","3.556","37.0","37.0","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","21","3.476","42.9","38.1","14.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","300
003","26","3.635","42.3","46.2","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","004
300","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","22","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","25","3.720","44.0","56.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","25","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","27","3.667","40.7","51.9","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","26","3.673","50.0","38.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","25","3.640","48.0","48.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"","300
014","26","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
300","24","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 51 of 420"
