"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","3004","3.513","40.0","10.0","10.8","2.0","2.0","0.3","",".","32.7","",".",".","",".","0.3","0.2",".","1.5","0.3"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","31","3.909","96.8",".","3.2",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","24","3.400","75.0",".","16.7",".","4.2","4.2","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","45","3.450","64.4","13.3","11.1","2.2","6.7","2.2","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","68","3.555","67.6","10.3","11.8","2.9","5.9","1.5","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","168","3.538","73.2","7.7","10.7","1.8","4.8","1.8","",".",".","",".",".","",".",".",".",".",".","."
"Special","","29","3.100","6.9",".","3.4",".","3.4",".","",".","86.2","",".",".","",".",".",".",".",".","."
"Graduate","","119","3.828","28.6","5.9","2.5",".",".",".","",".","55.5","",".",".","",".","7.6",".",".",".","."
"Prof Yr 1","","558","3.302","42.8","17.4","21.1","6.5","5.6","0.4","",".","5.7","",".",".","",".",".","0.5",".",".","."
"Prof Yr 2","","715","3.636","50.8","16.4","13.4","2.1","1.1","0.1","",".","14.8","",".",".","",".",".",".",".",".","1.3"
"Prof Yr 3","","691","3.447","22.1","9.4","12.7","1.0","1.9","0.1","",".","52.5","",".",".","",".",".","0.1",".",".","."
"Prof Yr 4","","804","3.977","35.7",".",".",".",".","0.2","",".","58.3","",".",".","",".","0.1","0.1",".","5.5","."
"Professionals","","2768","3.506","37.6","10.1","10.9","2.1","1.9","0.2","",".","35.0","",".",".","",".","0.0","0.2",".","1.6","0.3"
"","College Total","3084","3.513","38.9","9.7","10.5","2.0","2.0","0.3","",".","34.4","",".",".","",".","0.3","0.2",".","1.4","0.3"
