"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Intro to Dynamic Systems","Course Total","127","3.228","28.3","30.7","15.7","13.4","10.2","0.8","0.8",".",".",".",".",".",".",".",".","."
"","342
001","71","3.641","63.4","22.5","5.6","1.4","4.2","2.8",".",".",".",".",".",".",".",".",".","."
"","002
342","31","3.468","48.4","29.0","3.2","12.9","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","102","3.588","58.8","24.5","4.9","4.9","3.9","2.9",".",".",".",".",".",".",".",".",".","."
"","349
002","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
003","22","3.750","54.5","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
005","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","48","3.667","43.8","45.8","10.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","351
001","66","3.833","71.2","24.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
001","44","2.773","20.5","20.5","18.2","11.4","13.6","13.6","2.3",".",".",".",".",".",".",".",".","."
"","361
002","50","2.786","14.0","16.0","26.0","18.0","14.0","10.0",".",".",".",".",".",".",".",".","2.0","."
"","003
361","29","2.914","17.2","24.1","17.2","20.7","13.8","6.9",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","123","2.811","17.1","19.5","21.1","16.3","13.8","10.6","0.8",".",".",".",".",".",".",".","0.8","."
"","363
001","52","2.875","28.8","9.6","25.0","3.8","21.2","11.5",".",".",".",".",".",".",".",".",".","."
"","363
002","56","2.845","8.9","23.2","30.4","14.3","14.3","7.1",".","1.8",".",".",".",".",".",".",".","."
"","004
363","43","3.605","55.8","23.3","9.3","9.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","151","3.073","29.1","18.5","22.5","9.3","13.2","6.6",".","0.7",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","364
001","111","3.063","7.2","36.0","30.6","14.4","11.7",".",".",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","88","3.619","52.3","29.5","12.5","3.4","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","72","3.181","18.1","26.4","33.3","18.1","4.2",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","415
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","417
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
418","86","3.606","51.2","24.4","18.6","2.3","2.3",".",".",".",".",".",".",".","1.2",".",".","."
"","418
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","89","3.619","52.8","23.6","18.0","2.2","2.2",".",".",".",".",".",".",".","1.1",".",".","."
"Stat Expermntl Design","424
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Cutting","429
001","13","3.615","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","31","3.758","61.3","29.0","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Vibrations","440
001","26","3.385","42.3","23.1","26.9",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Mechatronics Cntrl Rlztn","445
001","10","3.650","70.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","42","3.202","28.6","19.0","21.4","26.2","4.8",".",".",".",".",".",".",".",".",".",".","."
"","446
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","47","3.245","29.8","21.3","21.3","23.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","447
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internal Combustion Engines","469
001","35","3.586","45.7","31.4","20.0",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery","475
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
041","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","Page 142 of 420",""
