"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","66","3.651","50.0","30.3","10.6","3.0","1.5",".",".","4.5",".","",".",".","",".","",".","",".",".","."
"Intro-Mus Cult of the World","103
001","72","3.597","59.7","22.2","8.3","2.8","5.6",".","1.4",".",".","",".",".","",".","",".","",".",".","."
"The African Storyteller","210
001","21","3.905","81.0","19.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","18","3.545","44.4","38.9","5.6",".",".","5.6",".","5.6",".","",".",".","",".","",".","",".",".","."
"Scandinavian American Folklore","440
001","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Slavic&E European Folklore","444
001","12","3.333","33.3","25.0","25.0","8.3","8.3",".",".",".",".","",".",".","",".","",".","",".",".","."
"Topics in Folklore","530
001","24","4.000","87.5",".",".",".",".",".",".","12.5",".","",".",".","",".","",".","",".",".","."
"Local Culture-Upper Midwest","540
001","24","3.604","66.7","20.8",".","8.3",".",".","4.2",".",".","",".",".","",".","",".","",".",".","."
"Independ Stdy-Folklore Grad","699
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"FOLKLORE
380","Dept. Total","242","3.674","60.7","22.7","7.0","2.9","2.5","0.4","0.8","2.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","3.685","58.6","27.6","10.3",".","3.4",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","61","3.658","55.7","29.5","8.2","3.3","3.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","59","3.648","62.7","22.0","6.8","1.7","5.1",".","1.7",".","",".",".","",".","",".","",".",".",".","."
"Senior","","73","3.633","60.3","21.9","6.8","5.5",".","1.4","1.4","2.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","222","3.649","59.5","24.8","7.7","3.2","2.7","0.5","0.9","0.9","",".",".","",".","",".","",".",".",".","."
"Special","","5","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","242","3.674","60.7","22.7","7.0","2.9","2.5","0.4","0.8","2.9","",".",".","",".","",".","",".",".",".","."
