"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","340
002","36","3.375","22.2","38.9","33.3","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"","003
340","39","3.372","25.6","33.3","33.3","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"","340
004","38","3.382","21.1","36.8","39.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","133","3.380","23.3","36.8","33.8","4.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","001
406","27","3.333","25.9","18.5","51.9","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
406","17","3.235","23.5","11.8","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","44","3.295","25.0","15.9","52.3","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","42","3.595","52.4","16.7","28.6","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","40","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
003","40","3.675","57.5","20.0","22.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","122","3.639","53.3","22.1","23.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","001
620","29","3.345","24.1","31.0","37.9","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"","620
002","28","3.321","32.1","28.6","21.4","14.3",".","3.6",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","57","3.333","28.1","29.8","29.8","8.8","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"","621
001","41","3.293","31.7","12.2","39.0","17.1",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","31","3.150","25.8","16.1","25.8","19.4","9.7",".",".",".",".",".",".",".",".",".","3.2","."
"Corporate & Advanced Taxation","Course Total","72","3.232","29.2","13.9","33.3","18.1","4.2",".",".",".",".",".",".",".",".",".","1.4","."
"","630
001","29","3.414","31.0","24.1","41.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
630","35","3.500","42.9","25.7","22.9","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","630
003","22","3.091","9.1","9.1","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","86","3.366","30.2","20.9","41.9","5.8","1.2",".",".",".",".",".",".",".",".",".",".","."
"","030
700","46","3.565","28.3","56.5","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","82","3.756","59.8","31.7","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
005","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","22","3.432","31.8","22.7","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","23","3.609","52.2","17.4","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","45","3.522","42.2","20.0","37.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
710","44","3.625","43.2","38.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","32","3.597","43.8","28.1","25.0",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","76","3.613","43.4","34.2","21.1",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","39","3.359","30.8","20.5","38.5","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","35","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","003
765","52","3.567","40.4","32.7","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","52","3.519","40.4","23.1","36.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","139","3.543","30.2","20.9","23.7",".",".",".",".",".",".",".",".","25.2",".",".",".","."
"","001
770","36","3.500","38.9","25.0","33.3","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","36","3.764","69.4","25.0","2.8",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","72","3.632","54.2","25.0","18.1","1.4",".","1.4",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","7","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 55 of 420"
