"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","051","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","052","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","053","13","2.731","7.7","15.4","30.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"","100","054","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","055","12","3.458","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100","056","13","3.385","7.7","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","057","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","058","12","3.292","16.7","41.7","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100","059","13","3.346","15.4","46.2","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","060","13","3.423","23.1","61.5",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","061","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","062","13","3.000",".","53.8","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"","100","063","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","736","3.484","33.0","43.3","16.3","4.1","2.2","0.3","0.5",".",".",".",".",".","0.3",".",".","."
"Intro-Digital Media Production","155","001","144","3.792","64.6","31.3","2.8","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181","001","12","3.292","16.7","33.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200","001","120","3.357","25.8","40.8","19.2","6.7","5.8","0.8",".",".",".",".",".",".","0.8",".",".","."
"Survey of Contemporary Media","250","001","232","3.224","19.0","41.4","24.6","7.8","3.9","0.9","2.6",".",".",".",".",".",".",".",".","."
"Communication & Human Behav","260","001","231","3.147","3.5","44.2","39.4","10.4","0.9","0.4","1.3",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262","001","152","3.642","44.7","42.8","7.9","3.3","0.7",".",".",".",".",".",".",".","0.7",".",".","."
"Thry&Pract-Group Discussion","266","001","52","3.692","48.1","42.3","9.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","149","3.023","14.8","34.2","23.5","14.8","6.7","2.7","3.4",".",".",".",".",".",".",".",".","."
"","310","001","20","3.600","60.0","30.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","310","002","95","3.597","36.8","43.2","17.9",".",".",".",".","1.1",".",".",".",".","1.1",".",".","."
"Topics: Rhetoric & Com Science","","Course Total","115","3.597","40.9","40.9","15.7",".",".",".","0.9","0.9",".",".",".",".","0.9",".",".","."
"Media & Human Behavior","325","001","79","3.250","25.3","22.8","34.2","8.9","7.6",".",".",".",".",".",".",".",".","1.3",".","."
"Critical Internet Studies","346","001","100","3.182","8.0","41.0","35.0","11.0","3.0","1.0",".",".",".",".",".",".","1.0",".",".","."
"Race, Ethnicity, and Media","347","001","21","3.262","23.8","28.6","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","168","3.139","20.8","27.4","26.8","11.9","9.5","1.8","0.6","1.2",".",".",".",".",".",".",".","."
"Television Industries","351","001","173","2.930","5.8","24.3","36.4","20.8","10.4","1.2","0.6","0.6",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","46","3.136","8.7","39.1","23.9","17.4","6.5",".",".","2.2",".",".",".",".",".","2.2",".","."
"Intro to Media Production","355","001","124","3.264","14.5","46.0","25.8","8.1","3.2","0.8","0.8",".",".",".",".",".","0.8",".",".","."
"Sports Media","359","001","57","3.096","7.0","33.3","40.4","10.5","8.8",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric, Politics, Culture","360","001","140","3.515","47.1","27.1","14.3","4.3","2.1",".","2.1",".",".",".",".",".","2.9",".",".","."
"Thry&Practice of Persuasion","368","001","118","2.924","19.5","13.6","24.6","23.7","16.1","1.7","0.8",".",".",".",".",".",".",".",".","."
"Ethics of Entertainment Media","375","001","25","3.180","24.0","52.0","12.0",".",".","4.0","8.0",".",".",".",".",".",".",".",".","."
"The Films of Alfred Hitchcock","400","001","24","3.421","12.5","50.0","12.5",".","4.2",".",".","20.8",".",".",".",".",".",".",".","."
"Psychology of Communication","402","001","25","2.840","8.0","16.0","28.0","32.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"Television Criticism","451","001","60","3.297","20.0","41.7","30.0","3.3",".",".","3.3",".",".",".",".",".","1.7",".",".","."
"French Film","455","001","20","3.737","65.0","10.0","20.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","465","001","16","3.469","6.3","81.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","11","3.455","9.1","72.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
