"","LANG & CULTURES OF ASIA - LA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"First Semester Filipino","305","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hmong","307","001","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","309","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Thai","317","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Vietnamese","319","001","","13","3.917","84.6",".","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","321","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","","17","3.471","58.8","11.8","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","323","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","323","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Arabic","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"First Semester Kazak","331","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Turkish","339","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Hindi","353","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","363","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","363","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Persian","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","369","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Modern Tibetan","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"First Semester Urdu","371","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Filipino","405","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hmong","407","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","409","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","409","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Indonesian","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Third Semester Thai","417","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Vietnamese","419","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Turkish","439","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hindi","453","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","463","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","463","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Persian","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Third Semester Urdu","471","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hmong","507","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Indonesian","509","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Thai","517","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Vietnamese","519","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hindi","553","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Persian","563","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","","Page 259 of 420",""
