"INTEGRATED SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","",""
"","100
001","95","3.826","77.9","17.9","2.1",".",".","2.1",".",".",".",".",".",".",".",".",".","."
"","100
002","103","3.621","52.4","27.2","18.4",".","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"Exploring Biology","Course Total","198","3.720","64.6","22.7","10.6",".","0.5","1.0","0.5",".",".",".",".",".",".",".",".","."
"Exploring Research in Science","150
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Explrn Leadership Mentoring","230
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","9","3.875","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","Course Total","18","3.914","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","57","3.955","93.0","3.5",".","1.8",".",".",".",".",".",".",".",".","1.8",".",".","."
"","375
002","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","96","3.787","77.1","12.5","8.3","1.0",".",".",".",".",".",".",".",".","1.0",".",".","."
"","660
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","660
002","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Research Mentor Training","Course Total","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Special Topics","675
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"INTEGSCI
503","Dept. Total","346","3.762","70.8","16.5","8.7","0.3","0.3","0.6","0.3",".",".","2.3",".",".","0.3",".",".","."
