"","919
042","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
043","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
044","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROL
676","Dept. Total","134","3.537","46.3","20.9","26.9","",".","",".","",".","",".","",".","",".",".","",".","",".","5.2",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","3","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","14","4.000","78.6",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","21.4",".",".","."
"Senior","","29","4.000","82.8",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","13.8",".","3.4","."
"Undergraduates","","47","4.000","83.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","14.9",".","2.1","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","75","3.406","25.3","30.7","44.0","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","11","3.500","27.3","45.5","27.3","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","87","3.422","26.4","32.2","41.4","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","134","3.537","46.3","20.9","26.9","",".","",".","",".","",".","",".","",".",".","",".","",".","5.2",".","0.7","."
