"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Crit Aspects Teach, Schl, Educ","240
001","","58","3.982","96.6",".","1.7",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Pract in World Lang (K-12)","243
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Videogames & Learning","277
001","","147","3.806","84.4","7.5","3.4","1.4","1.4","0.7","1.4",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","305
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Wrtg in Early Childhood","315
001","","23","3.826","78.3","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Methods","316
002","","21","3.667","76.2","9.5","4.8",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Teaching Reading and Writing","318
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chic/Lat Educ Justice","321
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Educ Young English Learners","325
001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mthds Young Eng Learners","327
001","","23","3.913","91.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Artistic Lives of Children","328
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Language of Schooling","338
001","","23","3.848","73.9","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching World Languages (K-8)","342
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching World Languages(6-12)","343
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama for Teaching & Learning","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363
001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Education","364
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","","63","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","","18","3.667","66.7","16.7","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","","40","3.850","85.0","7.5","2.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","002
369","","19","3.917","84.2","5.3","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","369
003","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","41","3.963","92.7","2.4","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Teaching Mathematics","370
001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","71","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
372","","23","3.739","60.9","30.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","","Page 87 of 420"
