"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","7","4.000","100.0",".",".","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","37","3.984","94.6","2.7",".","",".","",".","",".",".",".","",".",".","",".",".",".",".","2.7","."
"Senior","85","3.981","94.1","3.5",".","",".","",".","",".",".",".","",".",".","",".",".",".",".","2.4","."
"Undergraduates","132","3.983","94.7","3.0",".","",".","",".","",".",".",".","",".",".","",".",".",".",".","2.3","."
"Special","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","32","4.000","6.3",".",".","",".","",".","",".",".","78.1","",".",".","",".","3.1",".",".","12.5","."
"Prof Yr 1","5","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","6","4.000","100.0",".",".","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","116","3.421","27.6","24.1","40.5","",".","",".","",".",".","0.9","",".",".","",".","1.7","5.2",".",".","."
"Prof Yr 4","179","3.847","77.1","10.6","3.9","",".","",".","",".","1.1","6.1","",".",".","",".",".","0.6",".","0.6","."
"Professionals","306","3.572","59.2","15.4","17.6","",".","",".","",".","0.7","3.9","",".",".","",".","0.7","2.3",".","0.3","."
