"BUS","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","175","3.144","20.6","10.9","52.0","8.6","7.4",".",".","0.6",".",".",".",".",".",".",".","."
"","312
001","43","3.360","30.2","37.2","20.9","7.0","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"","312
002","36","3.375","33.3","36.1","16.7","5.6","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","79","3.367","31.6","36.7","19.0","6.3","3.8","1.3","1.3",".",".",".",".",".",".",".",".","."
"","365
001","45","3.367","37.8","22.2","17.8","20.0","2.2",".",".",".",".",".",".",".",".",".",".","."
"","365
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
365","47","3.447","38.3","29.8","21.3","4.3","6.4",".",".",".",".",".",".",".",".",".",".","."
"","365
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","111","3.388","45.0","23.4","16.2","10.8","3.6",".","0.9",".",".",".",".",".",".",".",".","."
"","001
410","48","3.207","35.4","18.8","25.0","8.3",".","4.2","4.2",".",".",".",".",".","4.2",".",".","."
"","002
410","47","3.185","31.9","23.4","21.3","8.5","6.4","4.3","2.1",".",".",".",".",".","2.1",".",".","."
"Real Estate Finance","Course Total","95","3.196","33.7","21.1","23.2","8.4","3.2","4.2","3.2",".",".",".",".",".","3.2",".",".","."
"","415
001","52","3.308","26.9","15.4","50.0","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","45","3.311","31.1","8.9","51.1","8.9",".",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","97","3.309","28.9","12.4","50.5","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","50","3.640","32.0","64.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","24","3.729","45.8","54.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","74","3.669","36.5","60.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","001
611","28","3.554","60.7","10.7","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","30","3.300","33.3","26.7","30.0",".","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","29","3.793","65.5","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","6","3.250","50.0",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","19","3.500","47.4","5.3","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
142","3","***","","","","","","","","","",".",".",".",".",".",".","."
