"ART DEPARTMENT","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Stage Lighting I","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Set Design I","372","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","376","001","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","376","002","8","3.125","50.0","12.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Photography","","Course Total","20","3.553","60.0","20.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".","5.0",".","."
"Internships in Art","393","001","11","3.682","72.7",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Imaging Studio","428","001","11","3.545","54.5","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","429","001","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","448","001","14","3.393","21.4","50.0","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","448","002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","003","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","004","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","009","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","76","3.883","82.9","10.5","3.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","452","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","452","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Paint: New Figuration I","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Neon: Light as Sculpture","454","001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Branding Design","458","001","14","3.308","28.6","14.3","42.9",".","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"Packaging Design","465","001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","002","6","3.417","50.0","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in 4D Art","470","001","8","3.000","37.5",".","25.0",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476","001","9","3.222","44.4","33.3",".","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium in Art","508","001","156","3.829","80.8","7.7","5.8","1.3","1.3",".","0.6","0.6",".",".",".",".","1.9",".",".","."
"Advanced Drawing I","512","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture Workshop 1","514","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environments","521","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","522","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","522","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Advanced Ceramics I","524","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Interactive Studio","528","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Life Drawing I","532","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534","001","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Watercolor I","542","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Publication Design","546","001","13","2.962","7.7","23.1","61.5",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","","Page 76 of 420"
