"MED","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","593","2.852","25.1","11.5","24.1","8.9","14.8","6.4","2.7","6.2","",".",".","",".","",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","9","2.111",".",".","22.2","22.2","33.3","22.2",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","172","2.801","20.9","13.4","27.3","9.3","18.6","7.6","2.9",".","",".",".","",".","",".",".",".",".","."
"Senior","","237","2.889","30.8","11.8","20.3","10.5","14.8","7.6","3.8",".","",".",".","",".","",".","0.4",".",".","."
"Undergraduates","","418","2.836","26.1","12.2","23.2","10.3","16.7","7.9","3.3",".","",".",".","",".","",".","0.2",".",".","."
"Special","","18","2.645","27.8",".","38.9","5.6","11.1","11.1","5.6",".","",".",".","",".","",".",".",".",".","."
"Graduate","","70","3.458","35.7","2.9","7.1","2.9",".",".",".","51.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","83","2.886","12.0","16.9","41.0","8.4","16.9","3.6","1.2",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","87","2.872","11.5","17.2","39.1","8.0","18.4","3.4","1.1","1.1","",".",".","",".","",".",".",".",".","."
"","Dept. Total","593","2.852","25.1","11.5","24.1","8.9","14.8","6.4","2.7","6.2","",".",".","",".","",".","0.2",".",".","."
