"","990
009","","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
012","","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
014","","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","",""
"AGROECOL
130","Dept. Total","","72","3.525","51.4","9.7","6.9","",".","1.4","",".","4.2","2.8","",".","20.8","",".","2.8","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"130
AGROECOL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","3","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","","11","3.818","72.7","18.2","9.1","",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","","11","3.591","54.5","27.3","9.1","",".","9.1","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","4","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Undergraduates","","","29","3.397","55.2","17.2","17.2","",".","3.4","",".","6.9",".","",".",".","",".",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","","42","3.942","50.0","4.8",".","",".",".","",".",".","4.8","",".","35.7","",".","4.8","",".",".",".","."
"","Dept. Total","","72","3.525","51.4","9.7","6.9","",".","1.4","",".","4.2","2.8","",".","20.8","",".","2.8","",".",".",".","."
