"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"100
Prin & Prac-Crop Production","001","","60","3.415","33.3","31.7","25.0",".","8.3",".",".","1.7",".",".",".",".",".",".",".","."
"103
Agroecology of Food and Ag","002","","13","3.346","53.8","15.4","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"203
Introduction to Global Health","001","","47","3.728","70.2","19.1","2.1",".","4.3","2.1",".",".",".",".",".",".","2.1",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"302
Forage Mgmt & Utilization","001","","16","3.094","25.0","18.8","25.0","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","15","3.300","20.0","33.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"370
Grassland Ecology","001","","47","3.767","78.7","6.4","4.3","4.3",".",".","2.1","4.3",".",".",".",".",".",".",".","."
"371
Managed Grazing Field Study","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","7","3.950","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"632
Ecotox: The Chemical Players","001","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"633
Ecotox: Impacts on Individuals","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"634
Ecotox: Populatn, Comm, Ecosys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"724
Agroecosystems & Global Chng","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Agronomy Teaching","Course Total","","4","***","","","","","","","","","","","","","","","",""
"811
Biometric Proc-Plnt Breedng","001","","10","3.611","40.0","30.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","10","",".",".",".",".",".",".",".","10.0",".",".",".","90.0",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","32","",".",".",".",".",".",".",".","59.4",".",".",".","40.6",".",".",".","."
