"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"Junior","5","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","10","3.300","50.0","10.0","10.0","10.0","20.0",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","15","3.100","33.3","26.7","6.7","6.7","20.0","6.7","",".",".","",".",".","",".","",".",".",".",".","."
"Special","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","24","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","116","3.906","70.7","10.3","0.9",".","0.9",".","",".","17.2","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","320","3.483","27.8","8.1","11.6","1.3","0.9","0.3","",".","49.7","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 4","289","3.973","42.2",".",".",".",".","0.3","",".","54.0","",".",".","",".","",".","0.3",".","3.1","."
"Professionals","725","3.670","40.4","5.2","5.2","0.6","0.6","0.3","",".","46.2","",".",".","",".","",".","0.3",".","1.2","."
