"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","214","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"813","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"813","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"813","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"813","007","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"813","008","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"813","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"813","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"813","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiology Clerkship","Course Total","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"910","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","5","***","","","","","","","","","","","","","","","",""
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
