"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
035","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
089","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
120","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
135","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
189","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","57","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
171","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
101","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271
102","15","3.433","20.0","53.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
103","13","3.308","30.8","38.5","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","42","3.417","31.0","40.5","16.7","9.5",".","2.4",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","331
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy","340
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
029","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
062","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","10","3.550","70.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","59","3.983","98.3",".","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","19","3.306","21.1","26.3","42.1",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Survey Music-Classic Era","414
001","23","3.591","56.5","4.3","30.4","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"Varsity Band","42
001","319","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Mus 1","420
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","79","4.000","98.7",".",".",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"","002
43","96","3.932","93.8","1.0","4.2",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","43
003","40","3.963","97.5",".",".","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","215","3.963","96.3","0.5","1.9","0.5","0.5",".",".","0.5",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Language Diction-Singing I","467
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","Page 280 of 420",""
