"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"FINANCE","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","286","3.185","27.6","24.1","24.1","8.0","15.4","0.3","0.3",".","",".",".","",".","",".","",".",".",".","."
"Senior","824","3.252","28.4","24.8","28.9","7.2","9.8","0.6","0.1","0.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","1113","3.235","28.2","24.5","27.8","7.4","11.2","0.5","0.2","0.2","",".",".","",".","",".","",".",".",".","."
"Special","126","3.294","26.2","27.8","31.0","3.2","7.9","1.6",".","0.8","",".",".","",".","",".","",".",".","1.6","."
"Graduate","334","3.608","49.4","22.5","27.2","0.3",".",".",".","0.3","",".",".","",".","",".","",".",".","0.3","."
"Prof Yr 3","4","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","4","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
