"","999
083","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
089","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
099","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
163","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"PhD Diss/DMA Project","Course Total","45","",".",".",".",".",".",".",".","88.9",".",".","",".","8.9",".",".","2.2","."
"MUSIC
660","Dept. Total","4351","3.778","83.0","4.9","5.6","1.2","1.0","0.3","0.3","2.2","0.0",".","",".","0.1","0.2","0.0","1.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","621","3.694","78.9","7.1","9.2","1.1","1.9","0.5","0.6","0.2",".",".","",".",".","0.3",".",".","0.2"
"Sophomore","","981","3.799","86.9","5.0","5.2","1.4","0.8","0.3","0.3","0.1",".",".","",".",".",".",".",".","."
"Junior","","1090","3.787","86.8","5.0","5.1","1.3","1.0","0.3","0.2",".","0.1",".","",".",".","0.2",".",".","."
"Senior","","1290","3.788","88.1","3.7","5.0","1.4","0.7","0.5","0.4","0.1","0.1",".","",".",".","0.1",".",".","."
"Undergraduates","","3982","3.774","86.0","4.9","5.8","1.3","1.0","0.4","0.4","0.1","0.1",".","",".",".","0.1",".",".","0.0"
"Special","","117","3.732","14.5","1.7",".",".","0.9",".",".","45.3",".",".","",".",".","0.9","1.7","35.0","."
"Graduate","","259","3.837","69.1","5.4","5.8","0.4","0.4",".",".","15.8",".",".","",".","1.5","0.4",".","1.2","."
"Prof Yr 1","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","4361","3.778","83.1","4.9","5.6","1.2","1.0","0.3","0.3","2.2","0.0",".","",".","0.1","0.2","0.0","1.0","0.0"
