"L&S","","","","","","","","","","","","","","","","","","","","","",""
"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","","",""
"RELIG ST
856","Dept. Total","401","3.681","52.9","32.9","8.2","1.5","",".","0.2","0.7","1.2","",".",".","",".","0.2","0.5","1.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","134","3.668","46.3","41.8","11.2","0.7","",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","88","3.750","64.8","27.3","6.8",".","",".",".","1.1",".","",".",".","",".",".",".",".",".","."
"Junior","","67","3.738","58.2","29.9","7.5","1.5","",".",".",".",".","",".",".","",".",".","3.0",".",".","."
"Senior","","97","3.587","51.5","32.0","7.2","4.1","",".","1.0","2.1",".","",".",".","",".","1.0",".","1.0",".","."
"Undergraduates","","386","3.678","53.9","33.9","8.5","1.6","",".","0.3","0.8",".","",".",".","",".","0.3","0.5","0.3",".","."
"Special","","11","4.000","9.1",".",".",".","",".",".",".","45.5","",".",".","",".",".",".","36.4","9.1","."
"Graduate","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","401","3.681","52.9","32.9","8.2","1.5","",".","0.2","0.7","1.2","",".",".","",".","0.2","0.5","1.2","0.2","."
