"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","27","3.827","66.7","25.9","3.7",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","203
001","88","3.523","40.9","34.1","15.9","6.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"","002
203","99","3.444","37.4","29.3","22.2","7.1","4.0",".",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","Course Total","187","3.481","39.0","31.6","19.3","7.0","3.2",".",".",".",".",".",".",".",".",".",".","."
"","210
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","140","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","126","3.766","76.2","10.3","8.7","1.6","2.4","0.8",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","001
220","86","3.064","26.7","23.3","20.9","17.4","4.7","2.3","4.7",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","126","3.222","34.1","24.6","19.0","8.7","7.9","4.8","0.8",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","48","3.177","22.9","27.1","27.1","12.5","8.3","2.1",".",".",".",".",".",".",".",".",".","."
"","252
001","129","3.504","45.0","26.4","18.6","6.2","3.1","0.8",".",".",".",".",".",".",".",".",".","."
"","252
002","18","3.222","27.8","22.2","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","252
005","20","3.275","25.0","35.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","167","3.446","40.7","26.9","19.8","7.2","4.8","0.6",".",".",".",".",".",".",".",".",".","."
"","270
001","59","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","62","3.927","87.1","11.3","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","121","3.930","86.8","12.4","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","17","3.265","52.9","29.4",".",".","5.9",".","11.8",".",".",".",".",".",".",".",".","."
"","271
002","25","3.460","40.0","32.0","16.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","42","3.381","45.2","31.0","9.5","2.4","7.1",".","4.8",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","303
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","9","3.444","44.4",".","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","25","3.700","80.0","4.0",".","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","315
002","30","3.850","86.7",".","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","55","3.782","83.6","1.8","5.5","5.5","3.6",".",".",".",".",".",".",".",".",".",".","."
"","317
001","15","3.700","80.0","6.7",".",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","317
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","23","3.804","87.0","4.3",".",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","42","3.762","83.3",".","9.5","4.8",".","2.4",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","57","3.536","50.9","19.3","17.5","5.3","5.3",".",".","1.8",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","45","3.682","55.6","22.2","20.0",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","12","3.227","33.3","8.3","25.0","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","64","2.867","26.6","15.6","20.3","17.2","7.8","6.3","6.3",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","Page 124 of 420",""
