"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","30","2.638","10.0","10.0","50.0","6.7","3.3","6.7","10.0",".","",".","",".",".","",".","","3.3",".",".","."
"Lit & Culture of Asian America","150
001","21","3.190","28.6","38.1","23.8",".",".",".","9.5",".","",".","",".",".","",".","",".",".",".","."
"Ethnic Movements in U.S.","220
001","23","3.477","30.4","47.8","4.3","8.7","4.3",".",".",".","",".","",".",".","",".","",".",".","4.3","."
"","240
001","37","3.568","45.9","27.0","21.6","5.4",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","240
002","18","3.361","38.9","27.8","27.8",".",".",".","5.6",".","",".","",".",".","",".","",".",".",".","."
"Topics-Asian Amer Studies","Course Total","55","3.500","43.6","27.3","23.6","3.6",".",".","1.8","",".","",".",".","",".","",".",".",".",".","."
"","540
001","27","3.889","81.5","14.8","3.7",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","540
002","28","3.518","39.3","32.1","25.0",".","3.6",".",".",".","",".","",".",".","",".","",".",".",".","."
"Special Topics","Course Total","55","3.700","60.0","23.6","14.5",".","1.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"ASIAN AM
184","Dept. Total","184","3.388","39.7","27.2","22.8","3.3","1.6","1.1","3.3","",".","",".",".","",".","",".","0.5",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.673","46.2","42.3","11.5",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","46","3.569","43.5","28.3","21.7","4.3",".",".",".","",".","",".",".","",".","",".",".",".","2.2","."
"Junior","","53","3.292","37.7","22.6","24.5","5.7","3.8","3.8","1.9","",".","",".",".","",".","",".",".",".",".","."
"Senior","","57","3.194","33.3","24.6","28.1","1.8","1.8",".","8.8","",".","",".",".","",".","",".","1.8",".",".","."
"Undergraduates","","182","3.382","39.0","27.5","23.1","3.3","1.6","1.1","3.3","",".","",".",".","",".","",".","0.5",".","0.5","."
"Special","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","184","3.388","39.7","27.2","22.8","3.3","1.6","1.1","3.3","",".","",".",".","",".","",".","0.5",".","0.5","."
