"","CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","19","3.778","57.9","31.6","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","54","2.991","9.3","22.2","37.0","24.1","5.6","1.9",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","88","2.989","18.2","11.4","43.2","11.4","11.4","2.3","1.1","1.1",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","70","2.848","12.9","15.7","28.6","20.0","17.1","4.3",".","1.4",".",".",".",".",".",".",".","."
"Hydrology","315","001","","17","3.471","35.3","23.5","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","90","3.206","25.6","23.3","35.6","2.2","12.2",".","1.1",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","","22","3.545","54.5","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","51","2.745","3.9","21.6","23.5","29.4","17.6","3.9",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","59","3.638","61.0","11.9","18.6","5.1","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","56","3.170","12.5","25.0","51.8","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","6","2.583",".","16.7","50.0",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","27","3.370","18.5","44.4","29.6","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","44","3.174","20.5","25.0","31.8","9.1","11.4",".",".","2.3",".",".",".",".",".",".",".","."
"Env Sustain Eng","421","001","","28","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","001","","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","","Course Total","","44","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","001","","40","3.938","92.5","2.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","002","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","","Course Total","","60","3.942","93.3","1.7","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","","43","2.919","4.7","32.6","34.9","16.3","4.7","4.7","2.3",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","36","3.403","27.8","27.8","41.7","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","17","3.206","29.4","11.8","41.2","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","55","3.427","30.9","41.8","18.2","3.6","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","39","3.615","64.1","10.3","10.3","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Coastal Engineering","514","001","","43","3.512","32.6","39.5","18.6","2.3","2.3",".",".","2.3",".",".",".",".","2.3",".",".","."
"Seepage and Slopes","530","001","","15","3.500","20.0","60.0","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Concrete Structures II","547","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Markets","561","001","","21","3.762","71.4","9.5","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","25","3.700","52.0","36.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","16","3.250","25.0","18.8","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Pavement Design","576","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","57","3.474","38.6","21.1","38.6",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","39","3.974","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Hydrology","619","001","","14","3.662","71.4","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","629","001","","19","3.981","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Envir Engr","","Course Total","","25","3.986","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","","Page 120 of 420",""
