"","990
001","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
002","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
003","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","107","3.581","55.1","17.8","14.0","1.9","4.7","",".","0.9","3.7","",".",".","",".","1.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.484","58.8","29.4",".",".","5.9","",".","5.9",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","20","3.429","50.0","15.0","15.0","10.0","10.0","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","19","3.477","42.1","31.6","15.8",".","10.5","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","23","3.613","56.5","8.7","34.8",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","79","3.503","51.9","20.3","17.7","2.5","6.3","",".","1.3",".","",".",".","",".",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","24","3.915","66.7","12.5",".",".",".","",".",".","12.5","",".",".","",".","8.3","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","107","3.581","55.1","17.8","14.0","1.9","4.7","",".","0.9","3.7","",".",".","",".","1.9","",".",".",".","."
