"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","117
022","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
023","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","117
024","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
025","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
026","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"Academic Writing I","Course Total","418","",".",".",".",".",".",".",".",".",".","96.2","3.8",".",".",".",".","."
"","118
001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","15","3.533","40.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
003","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
118","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","12","3.292","41.7","8.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
007","13","3.308","23.1","61.5","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","118
008","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
009","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
010","15","3.467","26.7","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
011","14","3.500","57.1","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","118
012","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
013","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
014","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
015","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
118","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
017","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
018","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
019","13","2.692","23.1","38.5","7.7","7.7",".",".","23.1",".",".",".",".",".",".",".",".","."
"","118
020","15","3.567","53.3","26.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Academic Writing II","Course Total","285","3.618","53.7","30.2","11.2","2.8","0.4",".","1.8",".",".",".",".",".",".",".",".","."
"Academic Skills Workshops","328
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","343
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","343
002","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"Oral Communication Skills","Course Total","27","",".",".",".",".",".",".",".",".",".","96.3","3.7",".",".",".",".","."
"Acad Present. and Discussion","344
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","345
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","345
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"American English Pronunciation","Course Total","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","349
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","349
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","349
003","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Writing for Grads","Course Total","35","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"English for Lawyers","352
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
