"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","5862","3.168","33.1","17.6","19.6","10.6","8.3","2.5","2.0","3.8","0.0","1.6","0.2","0.1","0.4","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","410","2.956","25.1","19.0","25.1","11.5","12.0","3.9","2.7",".",".",".",".",".","0.7",".",".","."
"Sophomore","","1014","3.070","27.7","18.8","23.7","12.1","9.5","3.2","2.0",".",".","2.5","0.3",".","0.3",".",".","."
"Junior","","1322","3.036","26.0","18.2","22.7","14.6","10.1","2.4","2.7","0.2",".","2.5","0.2",".","0.2","0.2",".","."
"Senior","","1699","3.033","27.6","17.4","21.5","12.8","10.8","3.5","2.6","0.3","0.1","1.9","0.2","0.4","0.6","0.1","0.1","."
"Undergraduates","","4445","3.035","26.9","18.1","22.7","13.0","10.4","3.1","2.5","0.2","0.0","2.0","0.2","0.2","0.4","0.1","0.0","."
"Special","","288","3.468","52.4","17.0","16.3","5.2","3.8","1.7","2.4",".",".","0.7",".",".","0.3",".",".","."
"Graduate","","1130","3.712","52.7","15.5","8.1","2.2","1.0","0.1","0.2","19.3",".","0.3",".","0.1","0.3","0.1","0.2","."
"Prof Yr 4","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","5864","3.168","33.2","17.6","19.6","10.6","8.3","2.5","2.0","3.8","0.0","1.6","0.2","0.1","0.4","0.1","0.1","."
