"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Teaching Science","Course Total","48","3.823","70.8","25.0","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","373
001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","375
001","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","375
002","20","3.425","45.0","20.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","375
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
005","26","3.846","84.6","7.7","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","375
006","26","3.846","84.6","7.7","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","375
007","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","Course Total","105","3.709","76.2","10.5","4.8","2.9","4.8",".","1.0",".",".",".",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","14","3.950","64.3","7.1",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Teach Secondary Schl Math I","393
001","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of English","396
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","399
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Vocal","409
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching Pop Inst Mus 1","420
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","454
001","11","",".",".",".",".",".",".",".",".",".","90.9",".",".",".",".",".","9.1"
"","454
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Middle School","Course Total","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".",".","7.7"
"Stdt Tchg Hist&Soc St in HS","459
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","463
001","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.3"
"","463
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sem. in Pre-K Through MS Teach","Course Total","42","4.000","97.6",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.4"
"","464
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg in Elem School","Course Total","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","506
001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","28","3.911","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","52","3.933","86.5","13.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","507
001","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","507
002","31","3.919","83.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inclusive Education-Secondary","Course Total","62","3.952","90.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
003","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
004","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
005","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"School-Based Practicum","Course Total","61","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Meth&Matl-Early Childhd Ed","550
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 88 of 420"
