"KINESIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","247","2.741","21.5","10.5","25.5","7.7","22.3","8.9","2.8",".",".",".",".",".","0.8",".",".","."
"Physiol of Human Performance","115
001","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
002","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
116","23","3.848","73.9","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","Course Total","47","3.830","72.3","21.3","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119
001","109","3.556","45.0","33.9","12.8","4.6","0.9","1.8",".",".",".",".",".",".","0.9",".",".","."
"Foundations of Physical Educ","121
001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","123
001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
123","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Living well: LIfestyle balance","Course Total","26","3.865","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","21","4.000","4.8",".",".",".",".",".",".","85.7",".",".",".",".",".",".","9.5","."
"","125
002","21","",".",".",".",".",".",".",".","76.2",".",".",".",".",".",".","23.8","."
"","125
003","20","",".",".",".",".",".",".",".","85.0",".",".",".",".",".",".","15.0","."
"","125
004","19","",".",".",".",".",".",".",".","84.2",".",".",".",".",".",".","15.8","."
"Adapted Fitness&Pers Traing","Course Total","81","4.000","1.2",".",".",".",".",".",".","82.7",".",".",".",".",".",".","16.0","."
"Intro to Athletic Training","127
001","31","3.306","22.6","35.5","29.0","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"Sci&Pract Resistance Training","140
001","28","3.214","28.6","17.9","32.1","10.7","10.7",".",".",".",".",".",".",".",".",".",".","."
"Choosing To Move","145
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Physiology and Health","235
001","87","2.808","18.4","6.9","32.2","12.6","24.1","3.4","1.1",".",".",".",".",".","1.1",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","26","3.960","88.5","7.7",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Practicum in Kinesiology","Course Total","50","3.970","94.0","4.0",".",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Adv Tech-Athletic Training","301
001","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","46","3.222","21.7","32.6","28.3","2.2","10.9","2.2",".",".",".",".",".",".",".","2.2",".","."
"Eval & Diag of Ortho. Cond.","317
001","18","3.667","38.9","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318
001","40","3.213","30.0","12.5","35.0","20.0",".","2.5",".",".",".",".",".",".",".",".",".","."
"","325
001","30","3.917","90.0","6.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Group Develop & Behav Manage","Course Total","54","3.954","94.4","3.7",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330
001","58","3.672","51.7","32.8","13.8","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","179","3.173","30.7","21.2","22.9","8.9","12.8","3.4",".",".",".",".",".",".",".",".",".","."
"","002
337","182","3.115","27.5","22.5","19.2","14.3","11.5","1.1","2.2","0.5",".",".",".",".","1.1",".",".","."
"Human Anatomy","Course Total","361","3.144","29.1","21.9","21.1","11.6","12.2","2.2","1.1","0.3",".",".",".",".","0.6",".",".","."
"","338
001","22","3.432","54.5","13.6","9.1","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","338
002","26","3.481","42.3","30.8","11.5","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","338
003","24","3.313","45.8","16.7","12.5","20.8",".",".","4.2",".",".",".",".",".",".",".",".","."
"","338
004","24","3.458","45.8","25.0","12.5","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","338
005","24","3.292","50.0","12.5","12.5","4.2","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"","338
006","24","3.229","37.5","25.0","16.7","4.2","12.5",".","4.2",".",".",".",".",".",".",".",".","."
"","338
007","23","3.130","30.4","21.7","21.7","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".","."
"","338
008","22","3.386","40.9","27.3","13.6","13.6",".","4.5",".",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","189","3.341","43.4","21.7","13.8","10.6","7.4","2.1","1.1",".",".",".",".",".",".",".",".","."
