"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","",""
"First Semester Greek","103","001","","11","3.300","36.4","9.1","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1","."
"Intermediate Greek","305","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Attic Orators","551","001","","13","3.769","76.9",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
