"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","254","3.183","15.7","35.0","29.1","14.2","3.9","2.0",".",".",".",".",".",".",".",".",".","."
"","002
300","223","3.136","12.6","33.6","32.3","13.0","5.8","0.4","0.9","0.4",".",".",".",".",".",".","0.9","."
"","300
003","108","3.153","12.0","32.4","32.4","20.4","2.8",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","585","3.160","13.8","34.0","30.9","14.9","4.4","1.0","0.3","0.2",".",".",".",".",".",".","0.3","."
"","305
001","50","3.290","20.0","30.0","44.0","4.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"","305
002","49","3.337","30.6","32.7","20.4","10.2","4.1","2.0",".",".",".",".",".",".",".",".",".","."
"","003
305","49","3.612","46.9","36.7","10.2","4.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","148","3.412","32.4","33.1","25.0","6.1","2.0","1.4",".",".",".",".",".",".",".",".",".","."
"","310
001","39","3.321","23.1","38.5","20.5","15.4","2.6",".",".",".",".",".",".",".",".",".",".","."
"","310
002","41","3.329","24.4","36.6","22.0","14.6","2.4",".",".",".",".",".",".",".",".",".",".","."
"","310
003","32","3.234","6.3","37.5","53.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","310
004","41","3.512","26.8","48.8","24.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","153","3.356","20.9","40.5","28.8","8.5","1.3",".",".",".",".",".",".",".",".",".",".","."
"","335
001","54","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","59","3.958","91.5","8.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","113","3.951","90.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","50","3.870","82.0","10.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
002","50","3.770","66.0","30.0","2.0",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","100","3.820","74.0","20.0","5.0",".",".","1.0",".",".",".",".",".",".",".",".",".","."
"","365
001","47","3.064","12.8","14.9","57.4","2.1","12.8",".",".",".",".",".",".",".",".",".",".","."
"","365
002","38","2.974","13.2","13.2","50.0","2.6","21.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","85","3.024","12.9","14.1","54.1","2.4","16.5",".",".",".",".",".",".",".",".",".",".","."
"","399
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
117","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","5","***","","","","","","","","","","","","","","","",""
"Global Marketing Strategy","420
001","31","3.419","25.8","41.9","22.6","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","28","3.661","60.7","21.4","10.7","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","421
002","26","3.750","65.4","23.1","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","54","3.704","63.0","22.2","9.3","3.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"","422
001","22","3.477","31.8","45.5","9.1","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
422","19","3.395","21.1","47.4","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","41","3.439","26.8","46.3","17.1","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","423
001","12","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","423
002","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply","Course Total","22","3.659","63.6","22.7","4.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","002
425","31","3.383","9.7","54.8","32.3",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","425
003","16","3.406","6.3","68.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","47","3.391","8.5","59.6","29.8",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"","001
460","43","3.419","30.2","34.9","23.3","11.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
460","21","3.595","52.4","23.8","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","28","3.554","32.1","53.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","92","3.500","35.9","38.0","16.3","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 64 of 420"
