"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"OTM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","56","2.827","10.7","25.0","21.4","16.1","17.9","7.1",".",".","",".",".","",".","",".","1.8",".",".","."
"Junior","243","3.160","20.6","27.2","32.1","9.9","8.2","1.2","0.8",".","",".",".","",".","",".",".",".",".","."
"Senior","253","3.298","31.2","29.2","20.6","9.9","7.5","1.2","0.4",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","554","3.191","24.5","27.8","25.8","10.5","8.8","1.8","0.5",".","",".",".","",".","",".","0.2",".",".","."
"Special","40","3.299","35.0","27.5","25.0",".","5.0","7.5",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","266","3.666","47.0","32.7","19.5",".",".",".",".","0.4","",".",".","",".","",".",".",".","0.4","."
"Prof Yr 3","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
