"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","246","3.711","71.1","11.4","11.8","2.4","2.4","0.4","0.4",".",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","253","3.664","61.3","22.1","10.3","4.0","1.2","0.8","0.4",".",".",".",".",".",".",".",".","."
"425","001","","30","3.533","33.3","43.3","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"425","002","","28","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","Course Total","","58","3.621","41.4","43.1","13.8","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","39","3.859","76.9","17.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","41","3.763","68.3","14.6","12.2","2.4",".",".",".",".",".",".",".",".",".","2.4",".","."
"474","001","","40","3.563","57.5","27.5","7.5",".","2.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"474","002","","40","3.650","57.5","32.5","2.5","2.5","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","","80","3.606","57.5","30.0","5.0","1.3","2.5","2.5","1.3",".",".",".",".",".",".",".",".","."
"501","001","","50","3.888","86.0","4.0","6.0","2.0",".",".",".",".",".",".",".",".",".","2.0",".","."
"501","002","","32","3.859","78.1","15.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","82","3.869","82.9","8.5","6.1","1.2",".",".",".",".",".",".",".",".",".","1.2",".","."
"517
Couple Relationships","001","","37","3.843","67.6","24.3","2.7",".",".",".",".","2.7",".",".",".",".","2.7",".",".","."
"592
Research Experience in HDFS","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Internship","001","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"616
Mass Media and Youth","002","","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","35","3.786","77.1","14.3","5.7",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","32","3.548","71.9","6.3","6.3","6.3",".",".","6.3",".",".",".",".",".","3.1",".",".","."
"681
Senior Honors Thesis","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"872
Bridging Gap: Rsch & Action","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Prevention Science","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","18","",".",".",".",".",".",".",".","83.3","5.6",".",".","11.1",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","039","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
