"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100","001","68","3.794","70.6","23.5","4.4",".",".","1.5",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","124","3.825","76.6","16.9","4.0",".","0.8",".","0.8","0.8",".",".",".",".",".",".",".","."
"HipHop & Politics in Senegal","220","001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"African Lit in Translation","300","001","20","3.650","55.0","20.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","13","3.531","84.6",".",".",".",".","15.4",".",".",".",".",".",".",".",".",".","."
"","321","002","13","2.944","15.4","46.2",".","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","321","003","12","3.375","58.3",".","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","321","004","8","3.438","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","46","3.311","50.0","19.6","6.5","8.7","8.7","4.3","2.2",".",".",".",".",".",".",".",".","."
"","323","001","14","3.286","14.3","42.9","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","323","002","7","3.214","42.9","28.6",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","","Course Total","21","3.262","23.8","38.1","23.8","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"First Semester Swahili","331","001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yoruba","371","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Yoruba","373","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","391","001","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","391","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem-Lang of West Africa","","Course Total","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study-African Lang","399","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"African Cultural Studies","405","001","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"5th Sem, Lang of N Africa","495","001","8","3.643","37.5","37.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Adv. African Cultural Studies","605","001","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Adv. Global Black Music Study","609","001","7","3.667","71.4",".",".",".","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"Theory & Methods LCTL Learning","670","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multilanguage Seminar","671","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading&Writing Afri Cultr Std","700","001","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Teaching African Languages","703","001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Teaching Portfolio","705","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem in ACS: Tpcs","905","001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","023","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
