"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"GREEK","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","3","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","8","3.466","50.0","25.0","12.5",".","12.5","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","7","3.386","28.6","14.3","57.1",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","19","3.358","36.8","15.8","36.8","5.3","5.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","***","","","","","","","","","","","","",".","",".","",".","",".",".","50.0","."
"Graduate","","","15","3.833","66.7",".","13.3",".",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","36","3.538","50.0","8.3","25.0","2.8","2.8","",".","",".","8.3","",".",".","",".","",".","",".",".","2.8","."
