"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","28","2.875","14.3","14.3","42.9","7.1","17.9","3.6",".",".","",".",".","",".",".",".",".",".","."
"Junior","","127","3.006","21.3","15.7","37.0","10.2","11.0","3.1","0.8",".","",".","0.8","",".",".",".",".",".","."
"Senior","","309","2.992","14.2","17.5","31.4","11.3","11.7","1.3","1.0",".","",".","1.6","",".","0.3","9.7",".",".","."
"Undergraduates","","466","2.982","16.1","17.0","33.5","10.7","11.8","1.9","1.1",".","",".","1.3","",".","0.2","6.4",".",".","."
"Special","","6","3.821","50.0","33.3",".",".",".",".",".","16.7","",".",".","",".",".",".",".",".","."
"Graduate","","76","3.528","35.5","3.9","9.2","1.3","2.6",".",".","6.6","",".",".","",".","39.5","1.3",".",".","."
"","Dept. Total","548","3.031","19.2","15.3","29.7","9.3","10.4","1.6","0.9","1.1","",".","1.1","",".","5.7","5.7",".",".","."
