"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","",""
"Contemp Dance Tech & Th V","Course Total","23","3.686","56.5","17.4","21.7",".",".",".",".",".","",".",".","",".","",".","4.3",".",".","."
"Ballet Technique III","325
001","11","3.406","45.5","36.4",".",".",".","9.1",".","9.1",".","",".",".","",".","",".",".",".","."
"Functional Anat Mvmt Practices","330
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Dynamics of Dance Therapy","331
001","8","3.833","62.5",".","12.5",".",".",".",".",".",".","",".",".","",".","","25.0",".",".","."
"Sound Dsgn-Perf/Visual Arts","341
001","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Dance Composition II","355
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Pilates Teaching I","376
001","10","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","399
014","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","399
016","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Project","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"Dance Repertory Theater","451
001","21","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Senior Seminar","462
001","9","3.889","88.9",".","11.1",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Current Topics-Dance:Wkshp","560
002","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Project","699
002","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"DANCE
741","Dept. Total","1072","3.766","75.7","12.5","5.3","2.1","1.6","0.7","0.1","1.0","",".",".","",".","",".","0.7",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","134","3.791","79.9","9.7","5.2","4.5","0.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","246","3.833","81.3","11.0","4.9","0.8","0.8","0.8",".",".","",".",".","",".","",".","0.4",".",".","."
"Junior","","242","3.703","73.1","14.9","4.5","2.5","1.7","1.7","0.4","0.4","",".",".","",".","",".","0.8",".",".","."
"Senior","","423","3.763","73.8","13.5","6.1","1.9","1.7","0.2",".","1.9","",".",".","",".","",".","0.7",".","0.2","."
"Undergraduates","","1045","3.768","76.2","12.7","5.4","2.1","1.3","0.7","0.1","0.9","",".",".","",".","",".","0.6",".","0.1","."
"Special","","18","3.528","50.0","5.6","5.6","5.6","11.1",".",".","5.6","",".",".","",".","",".","5.6","5.6","5.6","."
"Graduate","","12","3.833","75.0",".",".",".","8.3",".",".","8.3","",".",".","",".","",".",".",".","8.3","."
"","Dept. Total","1075","3.766","75.7","12.5","5.3","2.1","1.6","0.7","0.1","1.0","",".",".","",".","",".","0.7","0.1","0.3","."
