"L&S","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"ENGL
352","Dept. Total","3762","3.667","59.5","21.1","10.6","2.9","1.2","0.3","0.7","1.2","0.0","0.2","",".","1.2","0.7","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","995","3.784","70.6","19.5","7.0","1.5","0.2","0.1","0.4",".",".",".","",".",".","0.6","0.1",".","."
"Sophomore","","923","3.649","59.6","23.1","12.0","2.6","1.4","0.3","0.7",".",".",".","",".",".","0.3",".",".","."
"Junior","","752","3.566","51.2","25.4","16.4","3.3","1.7","0.1","1.2",".",".",".","",".",".","0.5","0.1",".","."
"Senior","","724","3.576","55.5","22.5","11.7","5.5","2.2","0.7","1.0","0.1",".",".","",".","0.3","0.3","0.1",".","."
"Undergraduates","","3394","3.654","60.1","22.4","11.5","3.1","1.3","0.3","0.8","0.0",".",".","",".","0.1","0.4","0.1",".","."
"Special","","80","3.546","33.8","15.0","11.3","6.3","1.3",".",".","17.5",".",".","",".",".","3.8","2.5","8.8","."
"Graduate","","288","3.914","59.4","7.6","0.3","0.3","0.7",".",".","10.8","0.3","2.8","",".","14.9","2.8",".",".","."
"","Dept. Total","3762","3.667","59.5","21.1","10.6","2.9","1.2","0.3","0.7","1.2","0.0","0.2","",".","1.2","0.7","0.1","0.2","."
