"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"110
Introduction to Private Pilot","001","","14","3.462","42.9","14.3","21.4","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"201","001","","147","2.726","17.0","17.7","20.4","20.4","10.9","6.8","6.1",".",".",".",".",".","0.7",".",".","."
"201","002","","165","2.630","17.6","10.3","21.8","18.8","18.8","6.7","6.1",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","312","2.675","17.3","13.8","21.2","19.6","15.1","6.7","6.1",".",".",".",".",".","0.3",".",".","."
"202
Dynamics","001","","128","2.965","14.1","19.5","31.3","23.4","8.6","2.3","0.8",".",".",".",".",".",".",".",".","."
"303
Mechanics of Materials","001","","72","2.597","15.3","5.6","27.8","22.2","15.3","9.7","4.2",".",".",".",".",".",".",".",".","."
"307","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","004","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","006","","6","2.750",".","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"307","007","","7","3.143","14.3","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"307","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","54","3.241","22.2","38.9","27.8","5.6",".","1.9","3.7",".",".",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","36","3.542","47.2","22.2","25.0","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"469
Design Probs in Engineering","001","","52","3.163","28.8","23.1","19.2","9.6","19.2",".",".",".",".",".",".",".",".",".",".","."
"506
Adv Mech of Materials I","001","","60","3.042","18.3","20.0","31.7","15.0","13.3","1.7",".",".",".",".",".",".",".",".",".","."
"521
Aerodynamics","001","","50","2.590","14.0","14.0","12.0","8.0","46.0","6.0",".",".",".",".",".",".",".",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"542
Advanced Dynamics","002","","50","2.750","22.0","6.0","32.0","12.0","18.0","4.0","6.0",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"601","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","35","3.190","14.3","31.4","14.3","17.1","5.7",".",".","17.1",".",".",".",".",".",".",".","."
"601","003","","22","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","","66","3.435","36.4","31.8","10.6","9.1","3.0",".",".","9.1",".",".",".",".",".",".",".","."
"605
Intro to Finite Elements","001","","27","3.426","48.1","25.9","14.8",".","7.4",".","3.7",".",".",".",".",".",".",".",".","."
"630
Viscoelastic Solids","001","","30","3.776","66.7","23.3","3.3",".","3.3",".",".",".",".",".",".",".",".","3.3",".","."
"690","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"759
HPC for Apps in Engr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 130 of 420",""
