"LIBRARY & INFORMATION STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","106","3.767","70.8","17.9","6.6","1.9","0.9","0.9",".",".",".",".",".",".","0.9",".",".","."
"Divides&Differences-Multicultr","202
001","45","3.556","60.0","22.2","6.7","4.4","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Tech Aspects","341
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","140","3.813","87.9","5.7","2.1",".",".","0.7","2.9","0.7",".",".",".",".",".",".",".","."
"","351
010","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Information","Course Total","150","3.805","86.0","6.7","3.3",".",".","0.7","2.7","0.7",".",".",".",".",".",".",".","."
"Code and Power","500
001","19","3.806","73.7","15.8",".",".","5.3",".",".",".",".",".",".",".",".","5.3",".","."
"","601
001","35","3.879","77.1","11.4","5.7",".",".",".",".",".",".",".",".",".","5.7",".",".","."
"","002
601","16","3.800","62.5","25.0","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Info Perspectives, Contexts","Course Total","51","3.854","72.5","15.7","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","602
001","34","3.853","85.3","5.9","5.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","002
602","38","3.931","89.5","2.6",".",".","2.6",".",".",".",".",".",".",".","5.3",".",".","."
"","602
003","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info: Org and Search","Course Total","108","3.920","90.7","2.8","2.8",".","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"Research and Assessment","603
001","26","3.904","88.5","7.7",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience Design 1","611
001","19","3.917","78.9","15.8",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","620
001","21","4.000","90.5",".",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"","620
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","23","4.000","87.0",".",".",".",".",".",".",".",".",".",".",".","13.0",".",".","."
"","001
622","9","3.563","55.6",".","22.2","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"","622
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","Course Total","20","3.816","80.0",".","10.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","635
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
004","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
005","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","36","3.944","91.7","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
644","16","3.933","87.5",".","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","644
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","23","3.932","87.0","4.3","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","645
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","645
002","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom","Course Total","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","646
002","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Info Architecture","Course Total","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
