"LINGUISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","",""
"Human Language","101
001","192","3.366","42.7","21.4","15.6","11.5","5.2","1.6","1.0",".",".",".",".",".","1.0",".",".","."
"Intro Ling-Descript&Theoret","301
001","25","3.522","60.0","8.0","4.0","8.0","12.0",".",".","8.0",".",".",".",".",".",".",".","."
"General Phonetics","306
001","9","3.250","44.4","22.2","11.1",".",".",".","11.1",".",".",".",".",".","11.1",".",".","."
"Phonology","310
001","16","3.567","43.8","37.5",".","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Syntax","330
001","21","3.275","33.3","19.0","23.8","14.3",".","4.8",".",".",".",".",".",".","4.8",".",".","."
"Topics in Linguistics","373
001","9","3.875","77.8",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Advanced Morphology","522
001","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Structure of a Language","571
001","14","3.786","85.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","681
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods&Materials","800
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","979
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"Independent Reading","999
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LINGUIS
550","Dept. Total","309","3.439","47.9","18.4","12.9","9.1","5.2","1.3","1.0","1.3",".",".",".","1.0","1.9",".",".","."
