"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","200","3.390","35.0","33.0","14.5","10.0","5.0","1.5",".",".",".",".",".",".","1.0",".",".","."
"Voice Training","140
001","13","3.654","69.2","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","150
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","17","3.882","88.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","150
006","18","3.500","66.7","5.6","11.1",".","5.6",".","5.6",".",".",".",".",".","5.6",".",".","."
"","010
150","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","115","3.838","82.6","10.4","2.6","0.9","1.7",".","0.9",".",".",".",".",".","0.9",".",".","."
"Intro to Stage Production","160
001","19","3.237","42.1","21.1","10.5","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","161
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","250
002","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","266
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Traditions in Dramatic Lit","324
001","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Acting Realism","001
350","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
001","19","3.816","78.9","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","362
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama for Teaching & Learning","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Makeup for the Theatre","364
001","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","6","3.421","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","10","3.529","50.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","368
001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting Styles","450
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Scenic Painting","472
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Postcolonial Theatre","577
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
